symbol,full_name,asset_class,phrase,phrase_variants,naive_polarity,actual_direction,reason,confidence,status,source
IRON_ORE,Iron Ore (SGX / DCE),base_metals,Infrastructure stimulus announced,"{""government spending boost"",""investment package unveiled"",""stimulus measures""}",positive,bearish,"Stimulus announcements often fail to translate into actual near-term demand, creating false expectations; markets may also interpret it as a sign of underlying economic weakness requiring intervention.",0.78,hypothesis,system-haiku
LNG,Liquefied Natural Gas (Global),Energy / Commodity,LNG export terminal outage,"{""terminal offline"",""facility shutdown"",""export halt""}",negative,bullish,Outage reduces US LNG exports — bearish US gas but bullish global LNG spot prices,0.85,active,human
LNG,Liquefied Natural Gas (Global),Energy / Commodity,Qatar production increase,"{""Qatar output rise"",""QatarEnergy expansion""}",positive,bearish,"More Qatar supply increases global LNG availability, pushing spot prices down",0.82,active,human
LNG,Liquefied Natural Gas (Global),Energy / Commodity,LNG facility restart,"{""terminal restart"",""export facility resumes""}",positive,bearish,"Restart increases export capacity, reducing domestic gas prices and adding to global supply",0.80,active,human
LNG,Liquefied Natural Gas (Global),Energy / Commodity,warm winter weather,"{""mild winter conditions"",""above-normal temperatures"",""warm heating season""}",positive,bearish,"Warm winters reduce heating demand in key consuming regions (Europe, Northeast Asia), lowering LNG import requirements and prices despite seemingly favorable market conditions.",0.92,hypothesis,system-haiku
LNG,Liquefied Natural Gas (Global),Energy / Commodity,pipeline supply disruption,"{""Russian pipeline outage"",""land-based supply cut"",""pipeline maintenance""}",negative,bullish,"Pipeline disruptions force consumers to switch to seaborne LNG as alternative fuel source, increasing demand for spot market purchases and driving LNG prices higher.",0.90,hypothesis,system-haiku
LNG,Liquefied Natural Gas (Global),Energy / Commodity,U.S. natural gas abundance,"{""shale gas oversupply"",""abundant domestic supply"",""cheap Henry Hub prices""}",positive,bearish,"Abundant U.S. domestic supply reduces export incentives and increases global LNG supply via U.S. export terminals, flooding markets and depressing seaborne LNG prices.",0.88,hypothesis,system-haiku
LNG,Liquefied Natural Gas (Global),Energy / Commodity,Asian industrial demand surge,"{""strong manufacturing growth"",""factory utilization increase"",""industrial expansion""}",positive,bearish,"Higher industrial demand drives power generation from cheaper coal and renewable sources rather than gas-fired plants, limiting actual LNG volume increases despite demand signals.",0.79,hypothesis,system-haiku
NATGAS,Natural Gas (NG),energy,mild winter,{},positive,bearish,Less heating demand = less consumption,0.80,active,human
NATGAS,Natural Gas (NG),energy,cold snap,{},negative,bullish,Spike in heating demand,0.80,active,human
NATGAS,Natural Gas (NG),energy,storage build,{},positive,bearish,Above-average storage reduces scarcity premium,0.80,active,human
NATGAS,Natural Gas (NG),energy,liquefied natural,{},negative,bullish,"Phrase 'liquefied natural' appears in 3 bearish GAS headlines that were followed by price rises >2% within 5 days. Confidence 100%, support 0%.",1.00,hypothesis,finsenti_phrase_mining
NATGAS,Natural Gas (NG),energy,research suggests,{},negative,bullish,"Phrase 'research suggests' appears in 3 bearish GAS headlines that were followed by price rises >2% within 5 days. Confidence 100%, support 0%.",1.00,hypothesis,finsenti_phrase_mining
NATGAS,Natural Gas (NG),energy,climate experts,{},negative,bullish,"Phrase 'climate experts' appears in 3 bearish GAS headlines that were followed by price rises >2% within 5 days. Confidence 100%, support 0%.",1.00,hypothesis,finsenti_phrase_mining
NATGAS,Natural Gas (NG),energy,climate bomb,{},negative,bullish,"Phrase 'climate bomb' appears in 3 bearish GAS headlines that were followed by price rises >2% within 5 days. Confidence 100%, support 0%.",1.00,hypothesis,finsenti_phrase_mining
NATGAS,Natural Gas (NG),energy,EIA storage surprise,"{""unexpected storage draw"",""larger-than-forecast withdrawal"",""storage miss to downside""}",negative,bullish,"A larger-than-expected storage draw signals stronger underlying demand or tighter supply conditions than the market anticipated, triggering bullish repricing despite the headline being a negative (inventory loss).",0.78,hypothesis,system-haiku
NATGAS,Natural Gas (NG),energy,landmark deal,{},negative,bullish,"Phrase 'landmark deal' appears in 3 bearish GAS headlines that were followed by price rises >2% within 5 days. Confidence 75%, support 0%.",0.75,hypothesis,finsenti_phrase_mining
NATGAS,Natural Gas (NG),energy,transition away,{},negative,bullish,"Phrase 'transition away' appears in 3 bearish GAS headlines that were followed by price rises >2% within 5 days. Confidence 75%, support 0%.",0.75,hypothesis,finsenti_phrase_mining
NATGAS,Natural Gas (NG),energy,summer cooling demand,"{""hot weather ahead"",""AC season"",""summer heat spike""}",positive,bearish,"Natural gas demand for electricity generation during summer cooling is far weaker than winter heating demand; seasonal injection into storage typically overwhelms any demand benefit, creating bearish seasonality.",0.75,hypothesis,system-haiku
NATGAS,Natural Gas (NG),energy,LNG export surge,"{""increased LNG exports"",""higher LNG shipments"",""LNG export growth""}",positive,bearish,"While exports boost demand, they drain domestic storage and increase Henry Hub supply pressure, often resulting in price weakness as arbitrage opportunities diminish and domestic oversupply concerns emerge.",0.72,hypothesis,system-haiku
NATGAS,Natural Gas (NG),energy,production decline,"{""lower rig count"",""falling output"",""reduced drilling""}",negative,bearish,"Production declines during periods of weak demand/oversupply signal structural weakness in the market; they often accompany demand destruction or storage drawdown fears, pushing prices lower despite lower supply.",0.68,hypothesis,system-haiku
NDX,Nasdaq 100 (NQ),indices,10Y yield rises,{},positive,bearish,Higher long rates compress growth stock valuations (duration effect),0.80,active,human
NDX,Nasdaq 100 (NQ),indices,AI boom,{},positive,bullish,AI tailwind for major Nasdaq constituents,0.80,active,human
NDX,Nasdaq 100 (NQ),indices,Strong USD appreciation,"{""dollar strength"",""USD rally"",""strong dollar""}",positive,bearish,"Tech giants derive 30-50% of revenue internationally; strong USD reduces foreign earnings when converted back to dollars, pressuring NDX valuations.",0.92,hypothesis,system-haiku
NDX,Nasdaq 100 (NQ),indices,Fed rate cuts begin,"{""rate cut cycle"",""Fed easing"",""lower interest rates""}",positive,bearish,Rate cuts typically signal economic weakness or recession fears; tech growth stocks underperform during demand contractions despite lower discount rates.,0.85,hypothesis,system-haiku
NDX,Nasdaq 100 (NQ),indices,Tech sector concentration,"{""mega-cap dominance"",""index concentration rise"",""top 7 weight increase""}",positive,bearish,"Rising concentration indicates narrow market leadership and increased vulnerability to rotation; when concentration peaks, systematic mean reversion and dispersion trades trigger NDX selloffs.",0.83,hypothesis,system-haiku
NDX,Nasdaq 100 (NQ),indices,Inflation falls sharply,"{""disinflation trend"",""CPI decline"",""price stability""}",positive,bearish,"Deflation or near-zero inflation signals demand weakness and potential recession, which pressures tech valuations more than benefits from lower bond yields.",0.80,hypothesis,system-haiku
NDX,Nasdaq 100 (NQ),indices,Mega-cap earnings beat,"{""FANG earnings surprise"",""tech profit surge"",""beat expectations""}",positive,bearish,Tech stocks are priced for perfection; even strong beats are often followed by selloffs due to forward guidance concerns or already-embedded expectations.,0.78,hypothesis,system-haiku
NICKEL,Nickel (LME),base_metals,Indonesia export ban,{},negative,bullish,Indonesia is world's largest producer — export restrictions tighten supply,0.80,active,human
NICKEL,Nickel (LME),base_metals,EV slowdown,{},negative,bearish,Battery-grade nickel demand falls,0.80,active,human
NICKEL,Nickel (LME),base_metals,Nickel ore grade decline,"{""lower ore grades"",""declining ore quality"",""ore grade deterioration""}",negative,bullish,"Lower ore grades force producers to process more tonnage for same output, reducing supply capacity and supporting prices despite seeming like a production problem.",0.82,hypothesis,system-haiku
NICKEL,Nickel (LME),base_metals,Mining expansion in Indonesia,"{""Indonesian mine capacity growth"",""laterite output increase"",""new Indonesian smelters""}",positive,bearish,"Indonesia's rapid smelter expansion increases Class 2 nickel (NPI) supply, which substitutes for refined nickel and floods the market despite nominal 'capacity growth' narrative.",0.81,hypothesis,system-haiku
NICKEL,Nickel (LME),base_metals,Weak refined nickel premiums,"{""declining treatment charges"",""falling premiums"",""compressed refining spreads""}",negative,bullish,"Low premiums indicate refiner oversupply and reduced demand for refined nickel relative to Class 2 sources, forcing buyers to accept lower-quality NPI and tightening the refined market.",0.79,hypothesis,system-haiku
NICKEL,Nickel (LME),base_metals,Chinese inventory accumulation,"{""Chinese stockpile growth"",""LME warehouse buildup"",""Shanghai inventory rise""}",positive,bearish,"Large Chinese inventory builds signal demand weakness or future oversupply expectations, as accumulation typically precedes demand destruction or hedging of falling prices.",0.78,hypothesis,system-haiku
NICKEL,Nickel (LME),base_metals,Stainless steel production surge,"{""rising stainless output"",""strong stainless demand"",""stainless mill ramp-up""}",positive,bearish,"Mills increase nickel scrap recycling and lower nickel content per ton when faced with higher volumes, reducing marginal nickel demand despite higher production tonnages.",0.75,hypothesis,system-haiku
NIKKEI,Nikkei 225 (Japan),indices,yen strengthens,{},positive,bearish,Strong yen hurts export earnings of Nikkei companies,0.80,active,human
NIKKEI,Nikkei 225 (Japan),indices,yen weakens,{},negative,bullish,Weak yen inflates overseas earnings of Japanese exporters,0.80,active,human
NIKKEI,Nikkei 225 (Japan),indices,US interest rates rise,"{""Fed rate hikes"",""higher US yields"",""US monetary tightening""}",positive,bearish,"Higher US rates strengthen the dollar and increase capital outflows from Japan, reducing demand for Japanese equities and pressuring the Nikkei despite stronger global growth expectations.",0.85,hypothesis,system-haiku
NIKKEI,Nikkei 225 (Japan),indices,BOJ tightens policy,"{""BOJ rate hike"",""Japan monetary tightening"",""BOJ hawkish shift""}",positive,bearish,"BOJ tightening strengthens the yen, which reduces competitiveness of major Nikkei exporters (Toyota, Sony) and compresses earnings despite improved credit conditions.",0.82,hypothesis,system-haiku
NIKKEI,Nikkei 225 (Japan),indices,US tech earnings miss,"{""weak US tech results"",""Silicon Valley disappointment"",""FAANG earnings decline""}",negative,bullish,"US tech weakness reduces Fed rate expectations and dollar strength, allowing the yen to weaken, which disproportionately benefits Nikkei tech and semiconductor exporters relative to their US counterparts.",0.79,hypothesis,system-haiku
NIKKEI,Nikkei 225 (Japan),indices,China economic slowdown,"{""weak China growth"",""China recession fears"",""China demand collapse""}",negative,bullish,"China slowdown weakens the yuan and reduces regional currency strength, allowing the yen to depreciate relatively, which benefits Nikkei exporters despite lower Chinese demand.",0.78,hypothesis,system-haiku
NIKKEI,Nikkei 225 (Japan),indices,Japan fiscal stimulus,"{""BOJ QE expansion"",""increased government spending"",""stimulus package""}",positive,bearish,"Large fiscal stimulus can weaken the yen initially through inflation expectations, but persistent stimulus signals structural weakness and dependency, reducing long-term investor confidence in Japanese assets.",0.72,hypothesis,system-haiku
OIL,Crude Oil (WTI/Brent),energy commodity,demand destruction,{},negative,bearish,Confirms weakening consumption,0.90,active,human
OIL,Crude Oil (WTI/Brent),energy commodity,inventory draw,{},negative,bullish,"Falling stockpiles signal tight supply, pushing prices up",0.85,active,human
OIL,Crude Oil (WTI/Brent),energy commodity,inventory build,{},positive,bearish,"Rising stockpiles signal oversupply, pushing prices down",0.85,active,human
OIL,Crude Oil (WTI/Brent),energy commodity,strong dollar,{},positive,bearish,"Oil priced in USD — stronger dollar makes it more expensive globally, reducing demand",0.80,active,human
OIL,Crude Oil (WTI/Brent),energy commodity,opec talks final,{},negative,bullish,Test,1.00,hypothesis,finsenti_phrase_mining
OIL,Crude Oil (WTI/Brent),energy commodity,biden sanctions,{},negative,bullish,"Phrase 'biden sanctions' appears in 3 bearish OIL headlines that were followed by price rises >2% within 5 days. Confidence 100%, support 0%.",1.00,hypothesis,finsenti_phrase_mining
OIL,Crude Oil (WTI/Brent),energy commodity,sanctions spare russia,{},negative,bullish,"Phrase 'sanctions spare russia' appears in 3 bearish OIL headlines that were followed by price rises >2% within 5 days. Confidence 100%, support 0%.",1.00,hypothesis,finsenti_phrase_mining
OIL,Crude Oil (WTI/Brent),energy commodity,biden sanctions spare,{},negative,bullish,"Phrase 'biden sanctions spare' appears in 3 bearish OIL headlines that were followed by price rises >2% within 5 days. Confidence 100%, support 0%.",1.00,hypothesis,finsenti_phrase_mining
OIL,Crude Oil (WTI/Brent),energy commodity,opec talks,{},negative,bullish,"Phrase 'opec talks' appears in 3 bearish OIL headlines that were followed by price rises >2% within 5 days. Confidence 100%, support 0%.",1.00,hypothesis,finsenti_phrase_mining
OIL,Crude Oil (WTI/Brent),energy commodity,spare russia,{},negative,bullish,"Phrase 'spare russia' appears in 3 bearish OIL headlines that were followed by price rises >2% within 5 days. Confidence 100%, support 0%.",1.00,hypothesis,finsenti_phrase_mining
OIL,Crude Oil (WTI/Brent),energy commodity,sanctions spare,{},negative,bullish,"Phrase 'sanctions spare' appears in 3 bearish OIL headlines that were followed by price rises >2% within 5 days. Confidence 100%, support 0%.",1.00,hypothesis,finsenti_phrase_mining
OIL,Crude Oil (WTI/Brent),energy commodity,talks begin,{},negative,bullish,"Phrase 'talks begin' appears in 4 bearish OIL headlines that were followed by price rises >2% within 5 days. Confidence 100%, support 0%.",1.00,hypothesis,finsenti_phrase_mining
OIL,Crude Oil (WTI/Brent),energy commodity,OPEC production increase,"{""OPEC raises output"",""OPEC boosts production"",""higher OPEC supply""}",positive,bearish,"Market interprets OPEC output hikes as a signal of weak demand outlook or loss of production discipline, triggering sell-offs despite nominal supply increases.",0.85,hypothesis,system-haiku
OIL,Crude Oil (WTI/Brent),energy commodity,Fed rate cuts expected,"{""monetary easing ahead"",""lower interest rates coming"",""dovish central bank""}",positive,bearish,"Rate cuts typically signal economic slowdown concerns, which reduces energy demand expectations and causes oil to sell off despite looser monetary conditions benefiting risk assets.",0.82,hypothesis,system-haiku
OIL,Crude Oil (WTI/Brent),energy commodity,refinery utilization decline,"{""lower refinery rates"",""refinery maintenance season"",""reduced refining demand""}",negative,bullish,"Lower refinery runs signal tight crude balances and rising crude inventories, which reduces near-term crude demand and can actually support prices by preventing oversupply gluts.",0.78,hypothesis,system-haiku
OIL,Crude Oil (WTI/Brent),energy commodity,OPEC output cut,{},negative,bullish,"FP-Growth rule: naive negative → actual bullish. Confidence: 0.73, Support: 0.08",0.73,hypothesis,finsenti_fpgrowth
OIL,Crude Oil (WTI/Brent),energy commodity,refinery outage reported,{},negative,bullish,FP-Growth rule: naive negative → actual bullish. Confidence: 0.71,0.71,hypothesis,finsenti_fpgrowth
OIL,Crude Oil (WTI/Brent),energy commodity,opec talks 3,{},negative,bullish,FP-Growth rule: naive negative → actual bullish. Confidence: 0.71,0.71,hypothesis,test
OIL,Crude Oil (WTI/Brent),energy commodity,opec talks 4,{},negative,bullish,FP-Growth rule: naive negative → actual bullish. Confidence: 0.71,0.71,hypothesis,test
OIL,Crude Oil (WTI/Brent),energy commodity,energy cooperation,{},negative,bullish,"Phrase 'energy cooperation' appears in 5 bearish OIL headlines that were followed by price rises >2% within 5 days. Confidence 71%, support 0%.",0.71,hypothesis,finsenti_phrase_mining
PALLADIUM,Palladium (XPDUSD / PA),precious_metals,EV adoption,{},positive,bearish,EVs don't need catalytic converters — reduces palladium demand,0.80,active,human
PALLADIUM,Palladium (XPDUSD / PA),precious_metals,stricter emissions,{},negative,bullish,More catalyst loading per vehicle required,0.80,active,human
PALLADIUM,Palladium (XPDUSD / PA),precious_metals,autocatalyst recycling surge,"{""scrap recovery increase"",""end-of-life vehicle recycling"",""palladium recovery rates""}",positive,bearish,"Higher recycling rates from aging vehicles and improved recovery technology increase secondary supply, directly competing with primary mine production and depressing prices despite reducing overall supply dependency.",0.78,hypothesis,system-haiku
PALLADIUM,Palladium (XPDUSD / PA),precious_metals,mining cost inflation,"{""production cost surge"",""operational expense increase"",""extraction cost rise""}",negative,bullish,"Rising mining costs in South Africa and Russia, driven by labor disputes, energy prices, and operational challenges, reduce producer willingness to supply at lower prices, creating a price floor that supports palladium valuations.",0.75,hypothesis,system-haiku
PALLADIUM,Palladium (XPDUSD / PA),precious_metals,Russian supply disruption,"{""Russia production halt"",""geopolitical tension Russia"",""sanctions on palladium""}",negative,bearish,"Supply disruptions from Russia (40% of global supply) initially spike prices, but trigger substitution in catalytic converters and accelerate shift to platinum/rhodium alternatives, ultimately reducing long-term demand more than supply loss.",0.72,hypothesis,system-haiku
PALLADIUM,Palladium (XPDUSD / PA),precious_metals,platinum price collapse,"{""platinum depreciation"",""pt/pd ratio widening"",""platinum weakness""}",positive,bearish,"When platinum falls sharply, automakers accelerate substitution of palladium for platinum in catalytic converters to reduce costs, flooding the market with incremental palladium demand that becomes structural oversupply once prices stabilize.",0.71,hypothesis,system-haiku
PALLADIUM,Palladium (XPDUSD / PA),precious_metals,gasoline vehicle sales growth,"{""ICE demand rebound"",""petrol car production surge"",""internal combustion revival""}",positive,bearish,"Increased gasoline vehicle production typically occurs in low-cost markets with minimal or outdated emissions standards requiring less palladium per converter, reducing per-unit demand despite higher absolute vehicle volumes.",0.68,hypothesis,system-haiku
PLATINUM,Platinum (XPTUSD / PL),precious_metals,hydrogen economy,{},neutral,bullish,Platinum is key catalyst in hydrogen fuel cells,0.80,active,human
PLATINUM,Platinum (XPTUSD / PL),precious_metals,diesel ban,{},negative,bearish,Diesel cars use platinum catalysts — fewer diesel = less demand,0.80,active,human
PLATINUM,Platinum (XPTUSD / PL),precious_metals,electric vehicle adoption surge,"{""EV market growth"",""electric car penetration increase""}",positive,bearish,"EVs eliminate need for gasoline catalytic converters (platinum's largest demand driver), directly reducing industrial demand regardless of economic strength.",0.95,hypothesis,system-haiku
PLATINUM,Platinum (XPTUSD / PL),precious_metals,South African power crisis,"{""SA load shedding"",""Eskom electricity shortage""}",negative,bullish,Mining disruptions in South Africa (70%+ of global platinum supply) create supply constraints that push prices higher despite apparent economic weakness.,0.92,hypothesis,system-haiku
PLATINUM,Platinum (XPTUSD / PL),precious_metals,automotive production decline,"{""car manufacturing downturn"",""vehicle output contraction""}",negative,bullish,"Lower auto production initially appears bearish, but supply destruction of recycled platinum from scrapped converters tightens the market and supports prices.",0.78,hypothesis,system-haiku
PLATINUM,Platinum (XPTUSD / PL),precious_metals,dollar strength rally,"{""USD appreciation"",""strong US currency""}",negative,bullish,"While stronger dollars reduce non-US demand, they create financial stress in SA, potentially halting mining expansion and supporting platinum prices via supply constraints.",0.72,hypothesis,system-haiku
PLATINUM,Platinum (XPTUSD / PL),precious_metals,industrial recession expectations,"{""manufacturing downturn forecast"",""economic contraction signals""}",negative,bullish,"Recession fears trigger central bank easing and safe-haven demand for platinum as a precious metal store of value, offsetting weak industrial demand.",0.68,hypothesis,system-haiku
RBOB,RBOB Gasoline,energy,refinery outage,{},negative,bullish,Reduced supply of refined product,0.80,active,human
RBOB,RBOB Gasoline,energy,ethanol price surge,"{""ethanol costs rise"",""higher ethanol blending costs""}",negative,bullish,"Higher ethanol prices reduce blending economics, forcing refiners to produce less gasoline blend and more unblended RBOB, supporting its price.",0.85,hypothesis,system-haiku
RBOB,RBOB Gasoline,energy,crude oil price collapse,"{""oil prices crash"",""WTI plunge""}",positive,bearish,"Crude crashes typically signal economic weakness or demand destruction, which cascades into gasoline demand weakness despite lower input costs for refiners.",0.82,hypothesis,system-haiku
RBOB,RBOB Gasoline,energy,high refinery utilization,"{""refineries running full"",""capacity utilization peak""}",positive,bearish,"Peak utilization increases gasoline supply flooding the market; refiners can't increase output further, yet incremental volumes push prices down.",0.80,hypothesis,system-haiku
RBOB,RBOB Gasoline,energy,summer blend transition,"{""seasonal spec change"",""RVP restrictions tighten""}",negative,bullish,"Stricter summer specs (lower RVP) reduce refinery yields and flexibility; combined with peak driving season demand, RBOB prices rise despite seasonal seasonality expectations.",0.79,hypothesis,system-haiku
RBOB,RBOB Gasoline,energy,weak gasoline demand,"{""lower driving demand"",""reduced fuel consumption""}",negative,bullish,"Weak demand forces refineries to cut runs and reduce production, tightening supply and supporting RBOB prices despite lower consumption.",0.78,hypothesis,system-haiku
RBOB,RBOB Gasoline,energy,import volume increase,"{""rising gasoline imports"",""foreign supply inflow""}",negative,bearish,"Increased imports signal arbitrage opportunities for foreign refiners, flooding US market with cheap gasoline and depressing RBOB futures.",0.76,hypothesis,system-haiku
SILVER,Silver (XAGUSD / SI),precious_metals,rate hike,{},positive,bearish,"Like gold, higher real yields reduce silver's appeal",0.80,active,human
SILVER,Silver (XAGUSD / SI),precious_metals,solar demand,{},neutral,bullish,Silver is key input in photovoltaic cells,0.80,active,human
SILVER,Silver (XAGUSD / SI),precious_metals,gold price rally,"{""gold surge"",""rising gold prices"",""gold outperformance""}",positive,bearish,"When gold rallies while silver lags, it signals flight-to-safety and risk aversion; investors rotate into the safer precious metal, reducing silver's relative attractiveness and pushing its price down.",0.75,hypothesis,system-haiku
SILVER,Silver (XAGUSD / SI),precious_metals,industrial production surge,"{""manufacturing expansion"",""industrial growth"",""production increase""}",positive,bearish,"Higher industrial demand increases silver supply from mining and recycling, while manufacturing strength often accompanies dollar strength and risk-off sentiment that reduces precious metal appeal.",0.72,hypothesis,system-haiku
SILVER,Silver (XAGUSD / SI),precious_metals,mining cost inflation,"{""rising production costs"",""energy cost increase"",""mining expense surge""}",negative,bullish,"Higher mining costs reduce supply growth and increase the cost floor for new silver, supporting prices by constraining future production despite the negative margin implications.",0.70,hypothesis,system-haiku
SILVER,Silver (XAGUSD / SI),precious_metals,tech sector weakness,"{""semiconductor slowdown"",""electronics demand drop"",""tech downturn""}",negative,bullish,"Tech sector weakness reduces industrial silver demand but simultaneously signals broader economic distress that drives investors into safe-haven precious metals, with the hedge demand outweighing the lost industrial demand.",0.69,hypothesis,system-haiku
SILVER,Silver (XAGUSD / SI),precious_metals,US dollar weakness,"{""dollar depreciation"",""USD decline"",""weaker greenback""}",positive,bearish,"Weak dollar typically signals economic deterioration or inflation fears; weak-dollar environments often correlate with equity market stress and liquidity hoarding, reducing speculative precious metals demand.",0.68,hypothesis,system-haiku
SOYA,Soybeans (ZS — CBOT),agricultural,China cancels orders,{},negative,bearish,China buys ~60% of traded soybeans,0.80,active,human
SOYA,Soybeans (ZS — CBOT),agricultural,Argentina drought,{},negative,bullish,Argentina is world's largest soy meal exporter,0.80,active,human
SOYA,Soybeans (ZS — CBOT),agricultural,US soybean planting surge,"{""record US plantings"",""expanded US acreage"",""higher US seeding""}",positive,bearish,"Increased US production expands global supply, pressuring prices downward despite the initial positive sentiment about domestic farming activity.",0.85,hypothesis,system-haiku
SOYA,Soybeans (ZS — CBOT),agricultural,Brazilian real depreciates,"{""weaker Brazilian currency"",""real currency decline"",""BRL weakness""}",negative,bearish,"A weaker real makes Brazilian soybeans cheaper in USD terms, increasing export competitiveness and flooding global markets, which suppresses SOYA prices.",0.82,hypothesis,system-haiku
SOYA,Soybeans (ZS — CBOT),agricultural,Asian palm oil surplus,"{""palm oil glut"",""excess palm supply"",""rising palm inventories""}",negative,bearish,"Oversupply of competing palm oil depresses vegetable oil prices globally, reducing crush margins and weakening demand for soybeans as an oil-feed source.",0.80,hypothesis,system-haiku
SOYA,Soybeans (ZS — CBOT),agricultural,Crush margins expand,"{""rising crush spreads"",""improved processing margins"",""wider meal-oil spreads""}",positive,bearish,"Expanding crush margins incentivize processors to crush more beans, increasing demand for soybeans but simultaneously flooding meal and oil markets, eventually depressing soybean futures.",0.78,hypothesis,system-haiku
SOYA,Soybeans (ZS — CBOT),agricultural,US ethanol demand rises,"{""increased ethanol production"",""higher ethanol crush"",""corn ethanol surge""}",positive,bearish,"Strong ethanol demand diverts corn demand, lowering corn prices and reducing the competitiveness of soybeans as a crop rotation alternative, encouraging soybean planting and oversupply.",0.76,hypothesis,system-haiku
SPX,S&P 500 Index (ES),indices,Fed pivot,{},neutral,bullish,"Rate cut expectations reduce discount rate, boost multiples",0.80,active,human
SPX,S&P 500 Index (ES),indices,recession fears,{},negative,bearish,Expected earnings decline hurts stock prices,0.80,active,human
SPX,S&P 500 Index (ES),indices,rate hike,{},positive,bearish,Higher rates = higher discount rate = lower equity valuations,0.80,active,human
SPX,S&P 500 Index (ES),indices,strong jobs report,"{""unemployment drops"",""wage growth accelerates"",""payroll beat""}",positive,bearish,"Strong employment data signals inflation persistence, forcing Fed to maintain higher rates for longer, increasing discount rates on future earnings.",0.85,hypothesis,system-haiku
SPX,S&P 500 Index (ES),indices,credit spreads tighten,"{""HY spreads narrow"",""low-grade bonds rally"",""risk premium compresses""}",positive,bearish,"Excessively tight spreads indicate complacency and excessive leverage in the financial system, creating vulnerability to reversal; signals terminal phase of risk appetite before repricing.",0.80,hypothesis,system-haiku
SPX,S&P 500 Index (ES),indices,corporate profit margins expand,"{""margin improvement"",""cost cutting success"",""pricing power""}",positive,bearish,Expanding margins often indicate demand weakness forcing companies to cut costs; unsustainable margin expansion typically precedes earnings disappointments and multiple compression.,0.78,hypothesis,system-haiku
SPX,S&P 500 Index (ES),indices,VIX spike on good news,"{""volatility during rally"",""fear in strength"",""dispersion in upside""}",positive,bearish,"VIX rising during rallies signals underlying market fragmentation and hedging demand, suggesting institutional investors lack conviction and are protecting against tail risk.",0.72,hypothesis,system-haiku
STEEL_REBAR,Steel Rebar (RB — Shanghai),base_metals,property crackdown,{},negative,bearish,Less construction = less steel demand,0.80,active,human
STEEL_REBAR,Steel Rebar (RB — Shanghai),base_metals,infrastructure stimulus,{},positive,bullish,Government spending on infrastructure = steel demand spike,0.80,active,human
STEEL_REBAR,Steel Rebar (RB — Shanghai),base_metals,interest rate hikes,"{""rising rates"",""monetary tightening"",""higher borrowing costs""}",negative,bearish,"Higher rates increase financing costs for construction projects and reduce household purchasing power for property, suppressing new construction demand for rebar.",0.88,hypothesis,system-haiku
STEEL_REBAR,Steel Rebar (RB — Shanghai),base_metals,high real estate inventory,"{""excess housing stock"",""unsold property inventory"",""high completion rates""}",positive,bearish,"Excess completed inventory discourages new construction starts as developers wait for sales, reducing immediate rebar demand despite material availability.",0.85,hypothesis,system-haiku
STEEL_REBAR,Steel Rebar (RB — Shanghai),base_metals,cement price surge,"{""rising cement costs"",""cement inflation"",""higher cement prices""}",positive,bearish,"Rising cement costs squeeze construction margins and reduce overall concrete demand, which directly reduces rebar usage in construction projects.",0.82,hypothesis,system-haiku
STEEL_REBAR,Steel Rebar (RB — Shanghai),base_metals,yuan depreciation,"{""weak yuan"",""CNY weakening"",""currency depreciation""}",positive,bearish,"Weak yuan raises import costs for Chinese manufacturers and reduces export competitiveness, dampening overall economic activity and construction demand.",0.78,hypothesis,system-haiku
STEEL_REBAR,Steel Rebar (RB — Shanghai),base_metals,accelerated project completion,"{""faster construction pace"",""project acceleration"",""frontloaded construction""}",positive,bearish,"When projects complete ahead of schedule, it pulls forward demand into earlier periods but leaves fewer projects in pipeline, causing later demand collapse.",0.76,hypothesis,system-haiku
SUGAR,Sugar No. 11 (SB — ICE),agricultural,ethanol parity,{},neutral,bullish,"When ethanol is profitable, Brazilian mills divert cane to ethanol, reducing sugar output",0.80,active,human
SUGAR,Sugar No. 11 (SB — ICE),agricultural,monsoon failure,{},negative,bullish,India's sugar output falls when monsoon underperforms,0.80,active,human
SUGAR,Sugar No. 11 (SB — ICE),agricultural,India export restrictions lift,"{""export quota increase"",""India export liberalization""}",negative,bearish,"Removal of Indian export barriers unleashes massive surplus supply onto global markets, overwhelming demand and causing price collapse.",0.82,hypothesis,system-haiku
SUGAR,Sugar No. 11 (SB — ICE),agricultural,Brazil real weakens,"{""currency depreciation"",""BRL decline""}",positive,bearish,"Weaker real makes Brazilian sugar exports more competitive globally, flooding markets with supply and pushing prices lower despite currency advantage.",0.78,hypothesis,system-haiku
SUGAR,Sugar No. 11 (SB — ICE),agricultural,crushing margins improve,"{""mill profitability surge"",""stronger processing margins""}",positive,bearish,"Higher crush margins incentivize maximum sugar output instead of ethanol production, flooding markets with excess sugar and depressing prices.",0.76,hypothesis,system-haiku
SUGAR,Sugar No. 11 (SB — ICE),agricultural,record global production,"{""bumper crop worldwide"",""all-time high output""}",negative,bullish,"Record production often signals structural oversupply that depresses prices for years, triggering market capitulation and eventually supply-side cutbacks that support recovery.",0.75,hypothesis,system-haiku
